-e	-p	predicted_dm	gold_dm	tp	|	acc_dm	p_dm	r_dm	f_dm	|	acc_r	p_r	r_r	f_r	|	conf
4	3	70392	85705	51292	|	0.90889	0.72866	0.59847	0.65718	|	0.90717	0.71432	0.59368	0.64844	|	[4] <= [12, 18, 24], direct
4	3	52662	85705	47852	|	0.92736	0.90866	0.55833	0.69166	|	0.92700	0.90463	0.55723	0.68966	|	[4] <= [12, 18, 24], -iterate/-dimlex
4	4	68340	85705	50913	|	0.91110	0.74499	0.59404	0.66101	|	0.91018	0.73709	0.59147	0.65630	|	[4] <= [12, 18, 21, 27], direct
4	4	54598	85705	49317	|	0.92906	0.90327	0.57542	0.70300	|	0.92905	0.90318	0.57540	0.70296	|	[4] <= [12, 18, 21, 27], -iterate/-dimlex
4	3	69880	85705	49322	|	0.90306	0.70580	0.57548	0.63401	|	0.90210	0.69778	0.57268	0.62907	|	[4] <= [12, 18, 21], direct
4	3	51346	85705	45623	|	0.92201	0.88854	0.53232	0.66578	|	0.92161	0.88396	0.53104	0.66348	|	[4] <= [12, 18, 21], -iterate/-dimlex
4	4	64675	85705	50189	|	0.91487	0.77601	0.58560	0.66749	|	0.91395	0.76766	0.58297	0.66269	|	[4] <= [12, 18, 21, 24], direct
4	4	51240	85705	46767	|	0.92609	0.91270	0.54567	0.68300	|	0.92565	0.90770	0.54431	0.68053	|	[4] <= [12, 18, 21, 24], -iterate/-dimlex
4	5	65302	85705	50165	|	0.91372	0.76820	0.58532	0.66440	|	0.91242	0.75646	0.58158	0.65759	|	[4] <= [12, 15, 21, 24, 27], direct
4	5	51285	85705	46255	|	0.92427	0.90192	0.53970	0.67530	|	0.92422	0.90139	0.53955	0.67504	|	[4] <= [12, 15, 21, 24, 27], -iterate/-dimlex
4	4	74491	85705	53194	|	0.90839	0.71409	0.62066	0.66411	|	0.90529	0.68966	0.61243	0.64875	|	[4] <= [12, 15, 24, 27], direct
4	4	55887	85705	49558	|	0.92768	0.88675	0.57823	0.70001	|	0.92759	0.88582	0.57798	0.69953	|	[4] <= [12, 15, 24, 27], -iterate/-dimlex
4	3	79368	85705	53908	|	0.90252	0.67921	0.62899	0.65314	|	0.89783	0.64450	0.61667	0.63028	|	[4] <= [12, 15, 27], direct
4	3	59932	85705	51804	|	0.92844	0.86437	0.60444	0.71141	|	0.92829	0.86289	0.60403	0.71062	|	[4] <= [12, 15, 27], -iterate/-dimlex
4	2	66335	85705	52784	|	0.92088	0.79571	0.61588	0.69434	|	0.91549	0.74803	0.60116	0.66660	|	[4] <= [12, 15], direct
4	2	55971	85705	50518	|	0.93081	0.90257	0.58944	0.71314	|	0.92976	0.89158	0.58647	0.70753	|	[4] <= [12, 15], -iterate/-dimlex
