-e	-p	predicted_dm	gold_dm	tp	|	acc_dm	p_dm	r_dm	f_dm	|	acc_r	p_r	r_r	f_r	|	conf
4	4	2962	5023	1082	|	0.88833	0.36529	0.21540	0.27100	|	0.88081	0.23295	0.14899	0.18174	|	[4] <= [21, 24, 27, 33], direct
4	4	1146	5023	812	|	0.91281	0.70855	0.16165	0.26325	|	0.90719	0.45287	0.10972	0.17665	|	[4] <= [21, 24, 27, 33], -iterate/-dimlex
4	5	2446	5023	988	|	0.89463	0.40392	0.19669	0.26456	|	0.88787	0.26001	0.13615	0.17872	|	[4] <= [21, 24, 27, 30, 36], direct
4	5	1020	5023	736	|	0.91231	0.72156	0.14652	0.24358	|	0.90729	0.46470	0.09955	0.16398	|	[4] <= [21, 24, 27, 30, 36], -iterate/-dimlex
4	4	3031	5023	1103	|	0.88782	0.36390	0.21958	0.27390	|	0.88035	0.23556	0.15407	0.18630	|	[4] <= [21, 24, 27, 30], direct
4	4	1156	5023	824	|	0.91308	0.71280	0.16404	0.26670	|	0.90784	0.47664	0.116	0.18658	|	[4] <= [21, 24, 27, 30], -iterate/-dimlex
4	5	2306	5023	959	|	0.89620	0.41587	0.19092	0.26170	|	0.89029	0.28230	0.13806	0.18544	|	[4] <= [21, 24, 27, 30, 33], direct
4	5	1011	5023	740	|	0.91264	0.73194	0.14732	0.24527	|	0.90792	0.48862	0.10341	0.17069	|	[4] <= [21, 24, 27, 30, 33], -iterate/-dimlex
4	6	2581	5023	1040	|	0.89403	0.40294	0.20704	0.27354	|	0.88784	0.27779	0.15255	0.19695	|	[4] <= [16, 24, 27, 30, 33, 36], direct
4	6	1064	5023	778	|	0.91308	0.73120	0.15488	0.25562	|	0.90813	0.48872	0.10912	0.17841	|	[4] <= [16, 24, 27, 30, 33, 36], -iterate/-dimlex
4	5	2654	5023	1012	|	0.89156	0.38131	0.20147	0.26364	|	0.88557	0.26375	0.14858	0.19008	|	[4] <= [16, 27, 30, 33, 36], direct
4	5	1019	5023	752	|	0.91295	0.73797	0.14971	0.24892	|	0.91283	0.73209	0.14869	0.24718	|	[4] <= [16, 27, 30, 33, 36], -iterate/-dimlex
4	4	3483	5023	1169	|	0.88168	0.33563	0.23272	0.27486	|	0.87427	0.22480	0.16885	0.19285	|	[4] <= [16, 30, 33, 36], direct
4	4	1143	5023	825	|	0.91337	0.72178	0.16424	0.26759	|	0.91323	0.71566	0.16307	0.26562	|	[4] <= [16, 30, 33, 36], -iterate/-dimlex
4	3	3326	5023	1074	|	0.88104	0.32291	0.21381	0.25727	|	0.87368	0.20745	0.14873	0.17325	|	[4] <= [16, 33, 36], direct
4	3	1007	5023	740	|	0.91271	0.73485	0.14732	0.24543	|	0.90961	0.57398	0.11890	0.19700	|	[4] <= [16, 33, 36], -iterate/-dimlex
4	2	6662	5023	1529	|	0.83451	0.22951	0.30439	0.26170	|	0.82192	0.13104	0.19990	0.15830	|	[4] <= [16, 36], direct
4	2	1598	5023	981	|	0.91062	0.61389	0.19530	0.29632	|	0.90665	0.48435	0.16071	0.24134	|	[4] <= [16, 36], -iterate/-dimlex
4	1	4129	5023	1095	|	0.86645	0.26519	0.21799	0.23929	|	0.85818	0.16081	0.14459	0.15227	|	[4] <= [16], direct
4	1	948	5023	669	|	0.91112	0.70569	0.13318	0.22408	|	0.90790	0.52848	0.10319	0.17266	|	[4] <= [16], -iterate/-dimlex
4	2	6392	5023	1437	|	0.83616	0.22481	0.28608	0.25177	|	0.82601	0.14205	0.20204	0.16681	|	[4] <= [16, 33], direct
4	2	1383	5023	905	|	0.91183	0.65437	0.18017	0.28254	|	0.90832	0.52205	0.14917	0.23204	|	[4] <= [16, 33], -iterate/-dimlex
4	3	3353	5023	1106	|	0.88175	0.32985	0.22018	0.26408	|	0.87410	0.21085	0.15289	0.17725	|	[4] <= [16, 30, 36], direct
4	3	1048	5023	784	|	0.91362	0.74809	0.15608	0.25827	|	0.91068	0.60209	0.12956	0.21324	|	[4] <= [16, 30, 36], -iterate/-dimlex
4	2	6062	5023	1457	|	0.84326	0.24034	0.29006	0.26287	|	0.83307	0.15275	0.20614	0.17547	|	[4] <= [16, 30], direct
4	2	1526	5023	976	|	0.91181	0.63958	0.19430	0.29806	|	0.90855	0.52817	0.16608	0.25270	|	[4] <= [16, 30], -iterate/-dimlex
4	3	3180	5023	1054	|	0.88308	0.33144	0.20983	0.25697	|	0.87692	0.23050	0.15589	0.18599	|	[4] <= [16, 30, 33], direct
4	3	990	5023	741	|	0.91308	0.74848	0.14752	0.24646	|	0.91147	0.66363	0.13302	0.22162	|	[4] <= [16, 30, 33], -iterate/-dimlex
4	4	3596	5023	1175	|	0.87974	0.32675	0.23392	0.27265	|	0.87211	0.21607	0.168	0.18902	|	[4] <= [16, 27, 33, 36], direct
4	4	1128	5023	825	|	0.91365	0.73138	0.16424	0.26824	|	0.91066	0.59308	0.13745	0.22318	|	[4] <= [16, 27, 33, 36], -iterate/-dimlex
4	3	3527	5023	1117	|	0.87884	0.31669	0.22237	0.26128	|	0.87086	0.19875	0.15215	0.17236	|	[4] <= [16, 27, 36], direct
4	3	970	5023	767	|	0.91446	0.79072	0.15269	0.25596	|	0.91143	0.62783	0.12517	0.20874	|	[4] <= [16, 27, 36], -iterate/-dimlex
4	2	6723	5023	1467	|	0.83096	0.21820	0.29205	0.24978	|	0.82047	0.13684	0.20554	0.16430	|	[4] <= [16, 27], direct
4	2	1411	5023	911	|	0.91153	0.64564	0.18136	0.28318	|	0.90834	0.52799	0.15338	0.23771	|	[4] <= [16, 27], -iterate/-dimlex
4	3	3373	5023	1051	|	0.87926	0.31159	0.20923	0.25035	|	0.87249	0.20693	0.14946	0.17356	|	[4] <= [16, 27, 33], direct
4	3	940	5023	712	|	0.91293	0.75744	0.14174	0.23880	|	0.91030	0.61170	0.11768	0.19739	|	[4] <= [16, 27, 33], -iterate/-dimlex
4	4	3587	5023	1174	|	0.87987	0.32729	0.23372	0.27270	|	0.87234	0.21773	0.16868	0.19009	|	[4] <= [16, 27, 30, 36], direct
4	4	1137	5023	830	|	0.91367	0.72999	0.16523	0.26948	|	0.91057	0.58751	0.13742	0.22274	|	[4] <= [16, 27, 30, 36], -iterate/-dimlex
4	3	3389	5023	1078	|	0.87999	0.31808	0.21461	0.25630	|	0.87306	0.21156	0.15379	0.17811	|	[4] <= [16, 27, 30], direct
4	3	995	5023	738	|	0.91287	0.74170	0.14692	0.24526	|	0.90991	0.58693	0.11994	0.19918	|	[4] <= [16, 27, 30], -iterate/-dimlex
4	4	3523	5023	1150	|	0.88018	0.32642	0.22894	0.26913	|	0.87326	0.22395	0.16924	0.19279	|	[4] <= [16, 27, 30, 33], direct
4	4	1155	5023	826	|	0.91318	0.71515	0.16444	0.26740	|	0.91024	0.58268	0.13819	0.22340	|	[4] <= [16, 27, 30, 33], -iterate/-dimlex
4	5	2390	5023	959	|	0.89459	0.40125	0.19092	0.25873	|	0.88870	0.27280	0.13825	0.18350	|	[4] <= [16, 24, 30, 33, 36], direct
4	5	987	5023	726	|	0.91256	0.73556	0.14453	0.24159	|	0.90807	0.49848	0.10273	0.17036	|	[4] <= [16, 24, 30, 33, 36], -iterate/-dimlex
